iter	Passed	Remaining
0	1	1743
1	3	1928
2	5	1840
3	7	1799
4	9	1801
5	10	1807
6	12	1784
7	14	1765
8	16	1788
9	17	1774
10	19	1774
11	21	1767
12	23	1769
13	25	1767
14	26	1765
15	28	1754
16	30	1761
17	32	1759
18	33	1750
19	35	1741
20	37	1739
21	39	1739
22	40	1734
23	42	1732
24	44	1731
25	46	1726
26	47	1724
27	49	1730
28	51	1731
29	53	1735
30	55	1738
31	57	1739
32	59	1737
33	61	1734
34	62	1731
35	64	1732
36	67	1746
37	69	1750
38	71	1759
39	73	1759
40	75	1757
41	76	1753
42	78	1753
43	80	1757
44	82	1753
45	84	1751
46	86	1748
47	88	1745
48	89	1743
49	91	1740
50	93	1735
51	95	1732
52	97	1737
53	98	1733
54	100	1729
55	102	1727
56	104	1725
57	106	1722
58	107	1717
59	109	1714
60	111	1711
61	112	1707
62	114	1704
63	116	1700
64	118	1698
65	119	1695
66	121	1694
67	123	1692
68	125	1692
69	127	1690
70	129	1692
71	131	1691
72	133	1691
73	135	1689
74	136	1686
75	138	1684
76	140	1681
77	142	1678
78	143	1677
79	145	1676
80	147	1674
81	149	1672
82	151	1670
83	152	1668
84	154	1666
85	156	1663
86	158	1659
87	160	1658
88	161	1657
89	163	1653
90	165	1650
91	166	1648
92	168	1646
93	170	1643
94	172	1641
95	174	1640
96	176	1639
97	178	1638
98	179	1636
99	181	1635
100	183	1635
101	185	1634
102	187	1631
103	189	1629
104	190	1626
105	192	1624
106	194	1623
107	196	1621
108	197	1618
109	199	1617
110	201	1614
111	203	1610
112	204	1608
113	206	1607
114	208	1605
115	210	1605
116	212	1603
117	214	1600
118	215	1598
119	217	1595
120	219	1592
121	220	1589
122	222	1586
123	224	1584
124	226	1582
125	227	1581
126	230	1581
127	231	1579
128	233	1577
129	235	1575
130	237	1572
131	238	1569
132	240	1568
133	242	1567
134	244	1565
135	245	1562
136	247	1560
137	249	1559
138	251	1557
139	253	1554
140	254	1552
141	256	1549
142	258	1546
143	260	1545
144	261	1544
145	263	1542
146	265	1539
147	267	1537
148	268	1535
149	270	1533
150	272	1530
151	273	1527
152	275	1526
153	277	1524
154	279	1521
155	280	1519
156	282	1517
157	284	1514
158	285	1511
159	287	1510
160	289	1507
161	291	1505
162	292	1504
163	294	1501
164	296	1499
165	298	1497
166	299	1494
167	301	1493
168	303	1490
169	304	1488
170	306	1486
171	308	1485
172	310	1483
173	312	1481
174	313	1479
175	315	1477
176	317	1475
177	319	1473
178	320	1471
179	322	1469
180	324	1469
181	326	1468
182	329	1469
183	331	1469
184	333	1468
185	335	1466
186	336	1464
187	338	1462
188	340	1460
189	342	1458
190	343	1456
191	345	1455
192	347	1454
193	349	1453
194	351	1452
195	353	1449
196	355	1447
197	357	1447
198	359	1446
199	361	1444
200	363	1443
201	364	1441
202	366	1439
203	368	1437
204	370	1436
